ACC_INC_TYPE,SUBD_OWNER
TRESPASSER,CP - CANADIAN PACIFIC RAILWAY CO.
CROSSING,CN - CANADIAN NATIONAL RAILWAY CO.
MAIN-TRACK TRAIN DERAILMENT,CAPITAL RAILWAY
NON-MAIN-TRACK TRAIN COLLISION,CP - CANADIAN PACIFIC RAILWAY CO.
MAIN-TRACK SWITCH IN ABNORMAL POSITION,CP - CANADIAN PACIFIC RAILWAY CO.
NON-MAIN-TRACK TRAIN DERAILMENT,GO - METROLINX
TRESPASSER,CP - CANADIAN PACIFIC RAILWAY CO.
CROSSING,CN - CANADIAN NATIONAL RAILWAY CO.
NON-MAIN-TRACK TRAIN DERAILMENT,GO - METROLINX
MAIN-TRACK TRAIN DERAILMENT,GO - METROLINX
NON-MAIN-TRACK TRAIN DERAILMENT,CP - CANADIAN PACIFIC RAILWAY CO.
CROSSING,CP - CANADIAN PACIFIC RAILWAY CO.
CROSSING,SOUTHERN ONTARIO RAILWAY
FIRE,GODERICH-EXETER RAILWAY COMPANY LTD.
DG LEAKER,CN - CANADIAN NATIONAL RAILWAY CO.
DG LEAKER,CN - CANADIAN NATIONAL RAILWAY CO.
NON-MAIN-TRACK TRAIN COLLISION,CN - CANADIAN NATIONAL RAILWAY CO.
TRESPASSER,CP - CANADIAN PACIFIC RAILWAY CO.
NON-MAIN-TRACK TRAIN DERAILMENT,CP - CANADIAN PACIFIC RAILWAY CO.
TRESPASSER,CN - CANADIAN NATIONAL RAILWAY CO.
NON-MAIN-TRACK TRAIN DERAILMENT,CP - CANADIAN PACIFIC RAILWAY CO.
CROSSING,VIA RAIL CANADA INC.
MOVEMENT EXCEEDS LIMITS OF AUTHORITY,CN - CANADIAN NATIONAL RAILWAY CO.
TRESPASSER,CP - CANADIAN PACIFIC RAILWAY CO.
NON-MAIN-TRACK TRAIN DERAILMENT,CP - CANADIAN PACIFIC RAILWAY CO.
CROSSING,GODERICH-EXETER RAILWAY COMPANY LTD.
TRESPASSER,CN - CANADIAN NATIONAL RAILWAY CO.
NON-MAIN-TRACK TRAIN DERAILMENT,CN - CANADIAN NATIONAL RAILWAY CO.
TRESPASSER,VIA RAIL CANADA INC.
NON-MAIN-TRACK TRAIN COLLISION,CN - CANADIAN NATIONAL RAILWAY CO.
CROSSING,CN - CANADIAN NATIONAL RAILWAY CO.
NON-MAIN-TRACK TRAIN DERAILMENT,CP - CANADIAN PACIFIC RAILWAY CO.
NON-MAIN-TRACK TRAIN COLLISION,CN - CANADIAN NATIONAL RAILWAY CO.
