LOCSF,MODIFIER,PROVINCE,SLOPE,SOIL_CODE,SOIL_ID,STONE
D,~~~~~,SK,A,ADA,SKADA~~~~~A,S
L,~~~~~,SK,A,AVG,SKAVG~~~~~N,U
L,~~~~~,SK,A,AVA,SKAVA~~~~~A,U
D,~~~~~,SK,B,HRA,SKHRA~~~~~A,S
D,~~~~~,SK,A,ADA,SKADA~~~~~A,S
D,~~~~~,SK,A,HRA,SKHRA~~~~~A,S
D,~~~~~,SK,B,HRC,SKHRC~~~~~A,S
D,~~~~~,SK,B,ADA,SKADA~~~~~A,S
D,~~~~~,SK,A,FXA,SKFXA~~~~~A,N
D,A~~~~,SK,B,WWD,SKWWDA~~~~A,N
U,~~~~~,SK,A,GXX,SKGXX~~~~~N,U
H,~~~~~,SK,A,CHA,SKCHA~~~~~A,S
H,~~~~~,SK,A,ADA,SKADA~~~~~A,S
D,~~~~~,SK,A,BYA,SKBYA~~~~~A,N
D,~~~~~,SK,A,FXA,SKFXA~~~~~A,N
H,~~~~~,SK,A,HTA,SKHTA~~~~~A,N
D,~~~~~,SK,B,ADA,SKADA~~~~~A,S
D,~~~~~,SK,B,CHA,SKCHA~~~~~A,S
D,~~~~~,SK,B,HRA,SKHRA~~~~~A,S
H,~~~~~,SK,A,HRA,SKHRA~~~~~A,S
D,~~~~~,SK,A,WWA,SKWWA~~~~~A,N
U,~~~~~,SK,A,GXX,SKGXX~~~~~N,U
H,~~~~~,SK,C,HRA,SKHRA~~~~~A,S
H,~~~~~,SK,C,HRC,SKHRC~~~~~A,S
H,~~~~~,SK,D,HRA,SKHRA~~~~~A,S
H,~~~~~,SK,C,HRO,SKHRO~~~~~A,S
U,~~~~~,SK,A,GXX,SKGXX~~~~~N,U
H,~~~~~,SK,D,HRC,SKHRC~~~~~A,S
H,~~~~~,SK,C,HTA,SKHTA~~~~~A,N
H,~~~~~,SK,A,HRA,SKHRA~~~~~A,S
H,~~~~~,SK,A,VAA,SKVAA~~~~~A,S
D,A~~~~,SK,A,HTA,SKHTAA~~~~A,N
D,A~~~~,SK,A,BYA,SKBYAA~~~~A,N
D,~~~~~,SK,D,HWW,SKHWW~~~~~N,S
H,~~~~~,SK,A,HRC,SKHRC~~~~~A,S
H,~~~~~,SK,C,HRA,SKHRA~~~~~A,S
H,~~~~~,SK,D,ADA,SKADA~~~~~A,S
H,~~~~~,SK,C,ADA,SKADA~~~~~A,S
H,~~~~~,SK,C,ADC,SKADC~~~~~A,S
