LOCSF,PROVINCE,SLOPE,SOIL_CODE,SOIL_ID,STONE
L,MB,A,MEB,MBMEBp~~~~A,V
L,MB,A,FYL,MBFYLd~~~~A,N
R,MB,A,IWO,MBIWO~~~~~N,V
L,MB,A,PGE,MBPGE~~~~~A,S
L,MB,A,PGU,MBPGU~~~~~A,S
R,MB,A,FFD,MBFFD~~~~~N,V
L,MB,A,ARS,MBARS~~~~~A,S
F13,MB,A,CRN,MBCRN~~~~~A,N
L,MB,A,FYL,MBFYLd~~~~A,N
L,MB,A,PGU,MBPGU~~~~~A,S
L,MB,A,THG,MBTHG~~~~~A,N
L,MB,A,PGE,MBPGEd~~~~A,S
L,MB,A,TRO,MBTROd~~~~A,N
F13,MB,A,CAY,MBCAY~~~~~A,N
L,MB,A,BAM,MBBAMd~~~~A,N
L,MB,A,FMS,MBFMS~~~~~A,N
L,MB,A,FYL,MBFYLp~~~~A,N
L,MB,A,MRQ,MBMRQ~~~~~A,S
L,MB,A,FYL,MBFYLd~~~~A,S
L,MB,A,RIV,MBRIV~~~~~A,N
L,MB,A,PGE,MBPGEd~~~~A,S
L,MB,A,PGU,MBPGU~~~~~A,S
L,MB,A,LBU,MBLBU~~~~~A,S
L,MB,A,NIV,MBNIV~~~~~A,N
L,MB,A,AND,MBAND~~~~~A,V
L,MB,A,GNL,MBGNL~~~~~A,N
R,MB,A,GUO,MBGUO~~~~~A,S
R,MB,A,AND,MBAND~~~~~A,V
R,MB,A,IWO,MBIWO~~~~~N,V
L,MB,A,MEB,MBMEBp~~~~A,S
R,MB,A,GUO,MBGUO~~~~~A,S
L,MB,A,ARS,MBARS~~~~~A,S
R,MB,A,LRY,MBLRY~~~~~A,N
L,MB,A,SLN,MBSLN~~~~~A,S
L,MB,A,PGE,MBPGE~~~~~A,S
R,MB,A,BYD,MBBYD~~~~~N,S
L,MB,A,STW,MBSTW~~~~~N,S
M14,MB,A,$MH,MB$MH~~~~~A,N
F13,MB,A,CAY,MBCAY~~~~~A,N
L,MB,A,FYL,MBFYL~~~~~A,N
R,MB,A,$SB,MB$SB~~~~~N,N
H,MB,A,LRY,MBLRY~~~~~A,N
H,MB,A,IWO,MBIWO~~~~~N,V
H,MB,A,PPL,MBPPL~~~~~A,N
H,MB,A,SDI,MBSDI~~~~~A,N
L,MB,A,KLI,MBKLIp~~~~N,N
H,MB,A,MNT,MBMNT~~~~~A,N
L,MB,A,MRQ,MBMRQ~~~~~A,N
B14,MB,A,BYH,MBBYH~~~~~A,N
H,MB,A,GUO,MBGUO~~~~~A,S
H,MB,B,LRY,MBLRY~~~~~A,N
H,MB,A,AND,MBAND~~~~~A,S
H,MB,A,PRG,MBPRG~~~~~A,N
L,MB,A,MNT,MBMNT~~~~~A,N
L,MB,A,PLN,MBPLN~~~~~A,N
L,MB,A,GNL,MBGNL~~~~~A,N
L,MB,A,MLI,MBMLI~~~~~A,N
L,MB,A,PPL,MBPPL~~~~~A,N
U,MB,A,PLN,MBPLN~~~~~A,S
U,MB,A,IWO,MBIWO~~~~~N,V
U,MB,A,SPG,MBSPG~~~~~A,S
L,MB,B,PPL,MBPPL~~~~~A,N
U,MB,A,BVR,MBBVR~~~~~A,S
U,MB,A,MEB,MBMEB~~~~~A,S
R,MB,A,LRY,MBLRY~~~~~A,S
F13,MB,A,KIC,MBKIC~~~~~A,N
L,MB,A,KLI,MBKLI~~~~~A,N
L,MB,A,MNT,MBMNT~~~~~A,N
L,MB,A,PPL,MBPPL~~~~~A,N
L,MB,A,MNT,MBMNT~~~~~A,N
U,MB,A,PLN,MBPLN~~~~~A,S
L,MB,A,WGE,MBWGE~~~~~A,S
L,MB,A,FOY,MBFOYd~~~~A,N
R,MB,A,KRW,MBKRW~~~~~N,S
R,MB,B,LRY,MBLRY~~~~~A,S
R,MB,A,SPG,MBSPG~~~~~A,S
