LOCSF,MODIFIER,PROVINCE,SLOPE,SOIL_CODE,SOIL_ID
U,3~~~~,NS,B,HWL,NSHWL3~~~~N
M,5~~~~,NS,B,DGC,NSDGC5~~~~A
M,5~~~~,NS,C,QUE,NSQUE5~~~~A
M,6~~~~,NS,B,QUE,NSQUE6~~~~A
B14,7~~~~,NS,A,CSY,NSCSY7~~~~N
M,4~~~~,NS,C,WOB,NSWOB4~~~~A
M,3~~~~,NS,C,THM,NSTHM3~~~~N
M,3~~~~,NS,C,HWL,NSHWL3~~~~N
B14,7~~~~,NS,A,CSY,NSCSY7~~~~N
M,5~~~~,NS,C,MLO,NSMLO5~~~~A
M,6~~~~,NS,A,THM,NSTHM6~~~~N
M,5~~~~,NS,D,DGC,NSDGC5~~~~A
M,5~~~~,NS,C,MLO,NSMLO5~~~~A
M,5~~~~,NS,B,QUE,NSQUE5~~~~A
M,6~~~~,NS,B,QUE,NSQUE6~~~~A
M,4~~~~,NS,B,WOB,NSWOB4~~~~A
B14,7~~~~,NS,A,CSY,NSCSY7~~~~N
M,3~~~~,NS,C,THM,NSTHM3~~~~N
M,3~~~~,NS,C,HWL,NSHWL3~~~~N
B14,7~~~~,NS,A,CSY,NSCSY7~~~~N
U,5~~~~,NS,B,MLO,NSMLO5~~~~A
B13,7~~~~,NS,A,CSY,NSCSY7~~~~N
U,6~~~~,NS,B,QUE,NSQUE6~~~~A
M,3~~~~,NS,C,SUI,NSSUI3~~~~N
M,3~~~~,NS,C,HWL,NSHWL3~~~~N
M,5~~~~,NS,C,MLO,NSMLO5~~~~A
M,6~~~~,NS,A,QUE,NSQUE6~~~~A
M,3~~~~,NS,D,THM,NSTHM3~~~~N
M,~~~~~,NS,B,ZRL,NSZRL~~~~~N
M,5~~~~,NS,B,GIB,NSGIB5~~~~N
B13,7~~~~,NS,A,CSY,NSCSY7~~~~N
M,5~~~~,NS,B,HFX,NSHFX5~~~~N
M,5~~~~,NS,B,HTN,NSHTN5~~~~N
M,6~~~~,NS,B,APG,NSAPG6~~~~N
M,5~~~~,NS,B,BWT,NSBWT5~~~~N
M,~~~~~,NS,B,ZRL,NSZRL~~~~~N
