AtcoCode,ModificationDateTime,NaptanCode,NptgLocalityCode,ShortCommonName
1800NE07781,2007-11-01T00:00:00,MANDWMGW,N0074880,Mount Rd
1800NE03311,2007-11-01T00:00:00,MANDWJAM,E0029472,Mount St
1800NE26211,2010-04-26T00:00:00,MANGATWT,E0028791,Mount St
1800SB04871,2007-11-01T00:00:00,MANGPJMA,E0057786,Mount St
1800WA03301,2007-11-01T00:00:00,MANTDWAW,N0075136,School
1800WA03461,2007-11-01T00:00:00,MANTDWDJ,N0075136,School
1800WA03231,2007-11-01T00:00:00,MANTDWAT,N0075136,School
1800WA03361,2007-11-01T00:00:00,MANTDWDG,N0075136,School
1800WA03311,2007-11-01T00:00:00,MANTDWDA,N0075136,Mount St Joseph S
1800NEH1422,2007-11-01T00:00:00,,E0028791,
1800NEH1421,2007-11-01T00:00:00,,E0028791,
1800WA02091,2014-10-14T00:00:00,MANJWDPT,E0052667,Mount Street
1800NC06791,2010-04-21T00:00:00,MANDPADG,E0028409,Mount Zion Rd
1800NC06781,2010-04-21T00:00:00,MANDPADA,E0028409,Mount Zion Rd
1800SB12921,2007-11-01T00:00:00,MANGPWMG,E0029575,Mountain Ash
1800NCH3161,2007-11-01T00:00:00,,E0029302,
1800NCH3162,2007-11-01T00:00:00,,E0029302,
1800WA20301,2014-05-15T00:00:00,MANPDWAD,E0028638,Mowbray Street
1800EB22071,2007-11-01T00:00:00,MANAGMJT,N0075088,Mowers Arms
1800NC22361,2010-04-23T00:00:00,MANDPTWD,E0029495,Moyse Ave
1800EHH1932,2007-11-01T00:00:00,,E0029109,
1800EHH1931,2007-11-01T00:00:00,,E0029109,
1800EH06891,2010-10-19T00:00:00,MANTGAWT,E0028492,Mulberry St
1800NEH3851,2007-11-01T00:00:00,,N0074956,
1800NEH3852,2007-11-01T00:00:00,,N0074956,
1800SB15951,2009-09-09T00:00:00,MANGTGDG,E0028539,Mullacre Rd
1800SB15931,2007-11-01T00:00:00,MANGTGDA,E0028539,Mullacre
1800ED00821,2007-11-01T00:00:00,MANAJPWG,N0075108,Mumps Bridge
1800ED10151,2007-11-01T00:00:00,MANAMGWG,N0075108,Mumps Bridge
1800ED10131,2007-11-01T00:00:00,MANAMGWA,N0075108,Mumps Bridge
1800ED10141,2007-11-01T00:00:00,MANAMGWD,N0075108,Mumps Bridge
1800EDT1191,2004-09-14T00:00:00,,N0075108,
