AtcoCode,CommonName,Landmark,ModificationDateTime,Notes,StopType
1800NE07781,Mount Rd,HOUSE 81,2007-11-01T00:00:00,,BCT
1800NE03311,Mount St,HOUSE 921,2007-11-01T00:00:00,,BCT
1800NE26211,Mount St,FLATS,2010-04-26T00:00:00,INDICATOR AMENDED,BCT
1800SB04871,Mount St,LANCASHIRE HSE,2007-11-01T00:00:00,,BCT
1800WA03301,Mount St Joseph Sch,MOUNT ST JOSEPH,2007-11-01T00:00:00,,BCT
1800WA03461,Mount St Joseph Sch,MOUNT ST JOSEPH,2007-11-01T00:00:00,,BCT
1800WA03231,Mount St Joseph Sch,MOUNT ST JOSEPH,2007-11-01T00:00:00,,BCT
1800WA03361,Mount St Joseph Sch,MOUNT ST JOSEPH,2007-11-01T00:00:00,,BCT
1800WA03311,Mount St Joseph School,MOUNT ST JOSEPH,2007-11-01T00:00:00,,BCT
1800NEH1422,Mount Street,KING STREET,2007-11-01T00:00:00,,BCT
1800NEH1421,Mount Street,KING STREET,2007-11-01T00:00:00,,BCT
1800WA02091,Mount Street,HAIRDRESSERS,2014-10-14T00:00:00,INDICATOR AMENDED,BCT
1800NC06791,Mount Zion Rd,HOUSE 560,2010-04-21T00:00:00,INDICATOR AMENDED,BCT
1800NC06781,Mount Zion Rd,SERVICE STATION,2010-04-21T00:00:00,INDICATOR AMENDED,BCT
1800SB12921,Mountain Ash,MOUNTAIN ASH,2007-11-01T00:00:00,,BCT
1800NCH3161,Mowbray Avenue,KINGS ROAD,2007-11-01T00:00:00,,BCT
1800NCH3162,Mowbray Avenue,KINGS ROAD,2007-11-01T00:00:00,,BCT
1800WA20301,Mowbray Street,NURSERY,2014-05-15T00:00:00,indicator amended,BCT
1800EB22071,Mowers Arms,HOUSE 237,2007-11-01T00:00:00,,BCT
1800NC22361,Moyse Ave,SCHOOL,2010-04-23T00:00:00,INDICATOR AMENDED,BCT
1800EHH1932,Mudd,Mudd,2007-11-01T00:00:00,,BCT
1800EHH1931,Mudd,Mudd,2007-11-01T00:00:00,,BCT
1800EH06891,Mulberry St,PROPERTY 4,2010-10-19T00:00:00,NAME AMENDED,BCT
1800NEH3851,Mulberry Way,MULBERRY WAY,2007-11-01T00:00:00,,BCT
1800NEH3852,Mulberry Way,MULBERRY WAY,2007-11-01T00:00:00,,BCT
1800SB15951,Mullacre Rd,HOUSE 44,2009-09-09T00:00:00,STOP RELOCATED,BCT
1800SB15931,Mullacre Rd,THE MISSION,2007-11-01T00:00:00,,BCT
1800ED00821,Mumps Bridge,BUS DEPOT,2007-11-01T00:00:00,,BCS
1800ED10151,Mumps Bridge,BUS DEPOT,2007-11-01T00:00:00,,BCS
1800ED10131,Mumps Bridge,BUS DEPOT,2007-11-01T00:00:00,,BCS
1800ED10141,Mumps Bridge,BUS DEPOT,2007-11-01T00:00:00,,BCS
1800EDT1191,Mumps Railway Station,OLDHAM WAY,2004-09-14T00:00:00,,TXR
1800NBH0252,Munn Road,VICTORIA AVENUE,2007-11-01T00:00:00,,BCT
1800NBH0251,Munn Road (NW bnd),VICTORIA AVENUE,2011-01-13T00:00:00,DIRECTION AMENDED,BCT
1800NBH1111,Munn Road (SE bnd),Munn Road (SE bnd),2011-01-13T00:00:00,,BCT
1800NF40121,Muriel St,HOUSE 176,2011-03-11T00:00:00,INDICATOR AMENDED,BCT
1800SJ11851,Murieston Road,CLOVELLY COURT,2014-10-09T00:00:00,INDICATOR AMENDED,BCT
1800SJ11281,Murieston Road,CHURCH,2014-10-09T00:00:00,INDICATOR AMENDED,BCT
1800NF40071,Murray St,THE WILLOWS,2011-03-11T00:00:00,indicator amended,BCT
1800NF40081,Murray St,BLUEBELL COURT,2011-03-11T00:00:00,NAME AMENDED,BCT
1800NE02491,Murrayfield,HOUSE 6,2015-04-06T00:00:00,STOP LOCATION AMENDED,BCT
1800NB35021,Museum,SCIENCE MUSEUM,2007-11-01T00:00:00,,BCT
1800SBH1771,Music Faculty,Music Faculty,2009-05-20T00:00:00,MAIN ROAD AMENDED,BCT
1800SBH1772,Music Faculty,Music Faculty,2009-05-20T00:00:00,MAIN ROAD AMENDED,BCT
1800NEH1351,Mutual St (NE bnd),WOODFIELD TERR,2011-02-10T00:00:00,DIRECTION AMENDED,BCT
1800NEH1371,Mutual St (SW bnd),Mutual St (SW bnd),2011-02-10T00:00:00,LOCATION AMENDED,BCT
