AtcoCode,Bearing,CreationDateTime,GrandParentLocalityName,Notes,NptgLocalityCode
1800WKH1491,NE,2010-05-07T00:00:00,,DIRECTION AMENDED,E0029543
1800WKH3231,W,2010-05-22T00:00:00,,REMOVED,E0028535
1800WKH3232,E,2010-05-22T00:00:00,,REMOVED,E0028535
1800WK06111,W,2015-02-06T00:00:00,,NAME AMENDED,N0075110
1800WK03791,E,2015-02-06T00:00:00,,NAME AMENDED,N0075110
1800SG10311,S,2014-02-17T00:00:00,,INDICATOR AMENDED,E0029156
1800SG10321,N,2014-02-17T00:00:00,,INDICATOR AMENDED,E0029156
1800WK31641,E,2007-11-01T00:00:00,,,E0029477
1800WK31631,W,2007-11-01T00:00:00,,,E0029477
1800WK36981,E,2007-11-01T00:00:00,,,N0077438
1800WK36971,W,2007-11-01T00:00:00,,,N0077438
1800WKH3601,W,2007-11-01T00:00:00,,,E0028950
1800SB10121,S,2007-11-01T00:00:00,Manchester,,N0077372
1800SB04121,N,2007-11-01T00:00:00,Manchester,,N0077372
1800SBH1791,E,2010-06-02T00:00:00,Manchester,REMOVED,N0077372
1800EBH2001,NW,2009-05-26T00:00:00,,INDICATOR AMENDED,E0028544
1800EBH2002,W,2005-05-24T00:00:00,,,N0075154
1800SYBS002,,2005-05-24T00:00:00,,,N0075154
1800SYBS001,,2008-07-09T00:00:00,,INDICATOR AMENDED,E0028544
1800SYBS0A1,,2008-07-09T00:00:00,,INDICATOR AMENDED,E0028544
1800SG36011,E,2014-02-05T00:00:00,,INDICATOR AMENDED,E0029053
1800SG36001,W,2014-02-05T00:00:00,,INDICATOR AMENDED,E0029053
1800ED15531,S,2008-03-27T00:00:00,,INDICATOR AMENDED,E0057798
1800ED07661,S,2008-03-27T00:00:00,,INDICATOR AMENDED,E0057798
1800ED02121,S,2008-03-27T00:00:00,,INDICATOR AMENDED,E0057798
1800EH10061,S,2010-04-19T00:00:00,,INDICATOR AMENDED,N0076732
1800WF07581,N,2014-02-21T00:00:00,Salford,indicator amended,E0028973
1800WFH0421,E,2007-11-01T00:00:00,Salford,,E0028973
1800ED28421,NW,2007-11-01T00:00:00,,,E0028755
1800ED28431,S,2007-11-01T00:00:00,,,E0028755
1800SG35621,SE,2014-02-05T00:00:00,,INDICATOR AMENDED,E0029391
1800SG35611,NW,2014-02-05T00:00:00,,INDICATOR AMENDED,E0029391
1800NE48771,W,2007-11-01T00:00:00,,,N0075155
1800NE25681,NW,2015-11-22T00:00:00,,STOP LOCATION AMENDENT,N0075155
1800NE25671,E,2015-05-14T00:00:00,,STOP LOCATION AMENDED,N0075155
1800NE48801,NW,2007-11-01T00:00:00,,,N0075155
1800NE48811,SE,2007-11-01T00:00:00,,,N0075155
1800NE21901,S,2014-12-02T00:00:00,,TOWARDS ADDED,N0075155
1800NE16461,N,2010-04-24T00:00:00,,INDICATOR AMENDED,N0075155
1800NE19801,N,2010-04-26T00:00:00,,INDICATOR AMENDED,E0029464
1800NE02691,SE,2007-11-01T00:00:00,,,N0075155
1800NE19791,S,2007-11-01T00:00:00,,,E0029464
1800NEH3642,W,2007-11-01T00:00:00,,,N0075155
1800NEH3641,E,2007-11-01T00:00:00,,,N0075155
1800NE25701,N,2007-11-01T00:00:00,,,N0075155
1800EH37021,W,2010-04-19T00:00:00,,INDICATOR AMENDED,E0028503
1800SB15411,NE,2007-11-01T00:00:00,,,E0057786
1800SG08461,NE,2014-02-14T00:00:00,,INDICATOR AMENDED,E0057819
1800SGH2502,W,2007-11-01T00:00:00,,,E0057819
1800SGH2501,E,2007-11-01T00:00:00,,,E0057819
1800EDH1181,S,2007-11-01T00:00:00,,,E0028946
1800EDH1191,S,2007-11-01T00:00:00,,,E0028946
1800EDH1192,N,2007-11-01T00:00:00,,,E0028946
1800EDH1182,N,2007-11-01T00:00:00,,,E0028946
1800NC05841,NE,2010-04-21T00:00:00,,INDICATOR AMENDED,E0029232
1800WK05191,SW,2014-02-14T00:00:00,,indicator amended,E0028911
1800WK05201,NE,2014-02-14T00:00:00,,indicator amended,E0028911
1800EH05751,S,2007-11-01T00:00:00,,,E0029252
1800WKH2462,NW,2007-11-01T00:00:00,,,E0028911
1800WKH2461,SE,2010-05-05T00:00:00,,DIRECTION REVISED,E0028911
1800ED30551,W,2007-11-01T00:00:00,,,E0028471
1800WK02481,E,2014-02-18T00:00:00,Wigan,indicator amended,E0028807
1800ED30541,E,2007-11-01T00:00:00,,,E0028471
1800NE08471,S,2010-04-24T00:00:00,,INDICATOR AMENDED,E0029060
1800NE08481,N,2010-04-24T00:00:00,,INDICATOR AMENDED,E0029060
1800ED16631,NE,2007-11-01T00:00:00,,,E0029031
1800ED16641,SW,2010-04-16T00:00:00,,INDICATOR AMENDED,E0029031
1800WK00881,W,2013-05-21T00:00:00,,INDICATOR AMENDED,E0029211
1800WK00891,E,2013-05-21T00:00:00,,INDICATOR AMENDED,E0029211
1800NE25901,NE,2007-11-01T00:00:00,,,E0028508
1800NE25891,SW,2007-11-01T00:00:00,,,E0028508
1800SB31031,W,2010-10-12T00:00:00,,STOP MOVED,E0029530
1800SB31021,E,2007-11-01T00:00:00,,,E0029530
1800SBH0332,N,2007-11-01T00:00:00,,,E0029530
1800SBH0331,S,2007-11-01T00:00:00,,,E0029530
1800SG43911,NE,2014-02-13T00:00:00,,INDICATOR AMENDED,E0028763
1800SG43921,SW,2014-02-13T00:00:00,,INDICATOR AMENDED,E0028763
1800WA41491,NE,2014-02-28T00:00:00,,indicator amended,E0028898
1800ED01471,N,2007-11-01T00:00:00,,,N0075177
1800ED16981,S,2010-04-16T00:00:00,,INDICATOR AMENDED,N0075177
1800EH04801,NW,2008-03-26T00:00:00,,INDICATOR AMENDED,E0028477
1800EH36521,NW,2010-04-19T00:00:00,,INDICATOR AMENDED,E0028353
1800EH36441,SE,2007-11-01T00:00:00,,,E0028477
1800WA41471,NW,2014-02-28T00:00:00,,indicator amended,E0028898
1800EH36531,SE,2010-04-19T00:00:00,,INDICATOR AMENDED,E0028353
1800WA13711,NW,2007-11-01T00:00:00,,,E0028365
1800SGH2352,W,2007-11-01T00:00:00,,,E0028432
1800SJH2571,NE,2008-08-22T00:00:00,,NAME AMENDED,E0029289
1800EDH3241,SW,2007-11-01T00:00:00,,,N0075177
1800SGH2351,E,2007-11-01T00:00:00,,,E0028432
1800WA15181,SE,2007-11-01T00:00:00,,,E0028898
1800EH14481,E,2010-04-19T00:00:00,,INDICATOR AMENDED,N0075024
1800WAH0901,SW,2007-11-01T00:00:00,,,E0028898
1800ED30801,W,2007-11-01T00:00:00,,,E0029358
1800ED06461,E,2010-10-15T00:00:00,,INDICATOR AMENDED,E0029358
1800WK05871,SW,2014-02-14T00:00:00,Wigan,indicator amended,E0029556
1800WK05861,NE,2014-02-14T00:00:00,Wigan,indicator amended,E0029556
1800ED19721,E,2010-10-18T00:00:00,,NAME AMENDED,E0029061
1800ED19711,W,2010-10-18T00:00:00,,NAME/INDICATOR AMENDED,E0029061
1800EH21321,N,2007-11-01T00:00:00,,,E0029252
1800SGH2522,S,2007-11-01T00:00:00,,,E0028777
1800SGH2521,N,2007-11-01T00:00:00,,,E0028777
1800NC22821,N,2011-01-17T00:00:00,,NAME & INDICATOR AMENDED,E0028598
1800NCH0731,NW,2007-11-01T00:00:00,,,E0028598
1800NCH0732,SE,2007-11-01T00:00:00,,,E0028598
1800NC22831,SE,2010-03-29T00:00:00,,INDICATOR AMENDED,E0028598
1800EH01441,S,2007-11-01T00:00:00,,,E0029421
1800EH01442,SW,2006-01-20T00:00:00,,,E0029421
1800ED28521,SW,2010-04-15T00:00:00,,INDICATOR AMENDED,E0028406
1800ED04531,NE,2010-10-15T00:00:00,,INDICATOR AMENDED,E0028406
1800EDH2581,NW,2007-11-01T00:00:00,,,E0028406
1800EDH2582,SE,2007-11-01T00:00:00,,,E0028406
1800WF39471,N,2014-02-20T00:00:00,Salford,indicator amended,E0029411
1800SB30391,E,2007-11-01T00:00:00,,,E0028865
1800ED05071,S,2007-11-01T00:00:00,,,E0028339
1800EB00861,S,2007-11-01T00:00:00,,,E0028994
1800EB06101,N,2010-03-25T00:00:00,,INDICATOR AMENDED,E0028994
1800NE18461,SW,2007-11-01T00:00:00,,,E0029395
1800NE02421,NE,2010-04-24T00:00:00,,INDICATOR AMENDED,E0029395
1800WK05951,SE,2014-02-14T00:00:00,,indicator amended,N0075201
1800WK05961,NW,2014-02-14T00:00:00,,indicator amended,N0075201
1800SBH0411,NW,2007-11-01T00:00:00,,,N0075104
1800SBH0412,SE,2007-11-01T00:00:00,,,N0075104
1800SG08381,NW,2014-02-17T00:00:00,,INDICATOR AMENDED,N0075203
1800EH14521,S,2011-12-21T00:00:00,,STOP RELOCATED,E0028965
1800EH15241,S,2012-02-01T00:00:00,,NEW STOP,E0028965
1800WK05061,NE,2014-02-14T00:00:00,Leigh,indicator amended,E0028559
1800WK32131,SW,2007-11-01T00:00:00,Leigh,,E0028559
1800SJ41421,NW,2015-01-21T00:00:00,,INDICATOR AMENDED,N0074997
1800SJ41411,SE,2015-01-21T00:00:00,,INDICATOR AMENDED,N0074997
1800SJH2831,NW,2013-05-01T00:00:00,,,N0074997
1800SJH2821,SE,2015-09-15T00:00:00,,STOP LOCATION AMENDED,N0074997
1800SB33501,N,2008-07-14T00:00:00,Manchester,INDICATOR AMENDED,N0075078
1800WF13341,NE,2014-02-21T00:00:00,Salford,indicator amended,E0029498
1800NCH0021,NW,2008-07-14T00:00:00,,INDICATOR AMENDED,E0029236
1800NCH0022,SE,2008-07-14T00:00:00,,INDICATOR AMENDED,E0029236
1800EB06761,SW,2010-03-26T00:00:00,,INDICATOR AMENDED,N0074882
1800SBT0471,,2004-09-14T00:00:00,,,E0057786
1800SGH2272,S,2016-02-15T00:00:00,,,N0075002
1800NE25971,S,2007-11-01T00:00:00,,,E0028401
1800SG19411,W,2014-02-24T00:00:00,,INDICATOR AMENDED,N0075002
1800SG19421,E,2014-02-24T00:00:00,,INDICATOR AMENDED,N0075002
1800NE25981,N,2007-11-01T00:00:00,,,E0028401
1800NC42371,SE,2010-04-23T00:00:00,,INDICATOR AMENDED,E0029221
1800NC42161,NW,2010-04-23T00:00:00,,INDICATOR AMENDED,E0029221
1800NCH4681,E,2011-01-17T00:00:00,,,E0029221
1800SGH2282,N,2007-11-01T00:00:00,,,N0075002
1800SGH2281,S,2007-11-01T00:00:00,,,N0075002
1800NCH0182,NE,2007-11-01T00:00:00,,,E0029221
1800NCH0181,W,2011-01-18T00:00:00,,DIRECTION AMENDED,E0029221
1800SGH2271,N,2007-11-01T00:00:00,,,N0075002
1800SGH3801,S,2016-02-15T00:00:00,,,N0075002
1800NEH4931,W,2014-03-05T00:00:00,,,N0075013
1800WK07401,E,2014-02-13T00:00:00,,indicator amended,E0028535
1800WK09141,W,2014-02-13T00:00:00,,indicator amended,E0028535
1800EH46451,N,2010-11-17T00:00:00,,INDICATOR AMENDED,N0075160
1800EDH1331,W,2007-11-01T00:00:00,,,E0028471
1800EDH1332,E,2007-11-01T00:00:00,,,E0028471
1800EH46441,S,2010-11-17T00:00:00,,INDICATOR AMENDED,N0075160
1800EH41341,SE,2010-04-20T00:00:00,,INDICATOR AMENDED,N0074964
1800EH41511,NW,2008-02-06T00:00:00,,STOP NAME ADDED,N0074964
1800EHH0302,W,2007-11-01T00:00:00,,,N0075160
1800EHH0301,W,2010-10-14T00:00:00,,DIRECTION AMENDED,N0075160
1800WK23291,S,2014-02-12T00:00:00,,indicator amended,E0029369
1800EHH2211,E,2010-10-14T00:00:00,,,N0075160
1800SJH2072,W,2007-11-01T00:00:00,,,N0075023
1800SJH2071,W,2010-05-13T00:00:00,,DIRECTION AMENDED,N0075023
1800SJH1321,E,2013-02-15T00:00:00,,NAME AMENDED,E0029481
1800SB31931,N,2010-03-29T00:00:00,Manchester,NAME AMENDED,E0028255
1800EB05871,W,2010-03-25T00:00:00,,INDICATOR AMENDED,E0029521
1800EB05891,E,2007-11-01T00:00:00,,,E0029521
1800EB03941,S,2007-11-01T00:00:00,,,E0028653
1800EB33881,NW,2007-11-01T00:00:00,,,E0028544
1800SG46401,S,2014-02-25T00:00:00,,INDICATOR AMENDED,N0075002
1800NB09401,N,2007-11-01T00:00:00,,,E0029384
1800NB09391,S,2010-03-30T00:00:00,,INDICATOR AMENDED,E0029384
1800ED28881,NE,2007-11-01T00:00:00,,,E0028969
1800ED28882,NW,2006-01-20T00:00:00,,,E0028969
1800EH21091,S,2010-04-19T00:00:00,,INDICATOR AMENDED,E0028806
1800SGH2751,S,2007-11-01T00:00:00,,,E0028600
